Topic to send: test-topic
Topic to acks: -1
Records: 80000
Size:30000
532 records sent, 106,4 records/sec (3,04 MB/sec), 9,4 ms avg latency, 14,0 ms max latency.
528 records sent, 105,4 records/sec (3,02 MB/sec), 9,5 ms avg latency, 63,0 ms max latency.
533 records sent, 106,5 records/sec (3,05 MB/sec), 9,4 ms avg latency, 20,0 ms max latency.
457 records sent, 91,3 records/sec (2,61 MB/sec), 10,9 ms avg latency, 686,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
533 records sent, 106,4 records/sec (3,04 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
531 records sent, 106,1 records/sec (3,04 MB/sec), 9,4 ms avg latency, 15,0 ms max latency.
525 records sent, 105,0 records/sec (3,00 MB/sec), 9,5 ms avg latency, 56,0 ms max latency.
533 records sent, 106,5 records/sec (3,05 MB/sec), 9,4 ms avg latency, 13,0 ms max latency.
514 records sent, 102,6 records/sec (2,94 MB/sec), 9,7 ms avg latency, 158,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 34,0 ms max latency.
531 records sent, 106,0 records/sec (3,03 MB/sec), 9,4 ms avg latency, 37,0 ms max latency.
531 records sent, 106,1 records/sec (3,04 MB/sec), 9,4 ms avg latency, 15,0 ms max latency.
523 records sent, 104,5 records/sec (2,99 MB/sec), 9,6 ms avg latency, 55,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 38,0 ms max latency.
534 records sent, 106,7 records/sec (3,05 MB/sec), 9,4 ms avg latency, 12,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
531 records sent, 106,2 records/sec (3,04 MB/sec), 9,4 ms avg latency, 17,0 ms max latency.
534 records sent, 106,8 records/sec (3,06 MB/sec), 9,3 ms avg latency, 11,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
475 records sent, 95,0 records/sec (2,72 MB/sec), 10,5 ms avg latency, 393,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 21,0 ms max latency.
525 records sent, 104,9 records/sec (3,00 MB/sec), 9,5 ms avg latency, 80,0 ms max latency.
532 records sent, 106,2 records/sec (3,04 MB/sec), 9,4 ms avg latency, 26,0 ms max latency.
533 records sent, 106,4 records/sec (3,04 MB/sec), 9,4 ms avg latency, 12,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 19,0 ms max latency.
524 records sent, 104,7 records/sec (3,00 MB/sec), 9,5 ms avg latency, 58,0 ms max latency.
531 records sent, 106,1 records/sec (3,04 MB/sec), 9,4 ms avg latency, 38,0 ms max latency.
506 records sent, 101,1 records/sec (2,89 MB/sec), 9,9 ms avg latency, 269,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 15,0 ms max latency.
531 records sent, 106,2 records/sec (3,04 MB/sec), 9,4 ms avg latency, 31,0 ms max latency.
527 records sent, 105,3 records/sec (3,01 MB/sec), 9,5 ms avg latency, 45,0 ms max latency.
533 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 22,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 37,0 ms max latency.
534 records sent, 106,7 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
526 records sent, 105,2 records/sec (3,01 MB/sec), 9,5 ms avg latency, 74,0 ms max latency.
532 records sent, 106,2 records/sec (3,04 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
519 records sent, 103,7 records/sec (2,97 MB/sec), 9,6 ms avg latency, 83,0 ms max latency.
499 records sent, 99,7 records/sec (2,85 MB/sec), 10,0 ms avg latency, 320,0 ms max latency.
534 records sent, 106,6 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
532 records sent, 106,3 records/sec (3,04 MB/sec), 9,4 ms avg latency, 21,0 ms max latency.
534 records sent, 106,7 records/sec (3,05 MB/sec), 9,4 ms avg latency, 11,0 ms max latency.
530 records sent, 106,0 records/sec (3,03 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,4 ms avg latency, 34,0 ms max latency.
529 records sent, 105,7 records/sec (3,02 MB/sec), 9,4 ms avg latency, 35,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 29,0 ms max latency.
535 records sent, 106,8 records/sec (3,06 MB/sec), 9,3 ms avg latency, 10,0 ms max latency.
534 records sent, 106,8 records/sec (3,06 MB/sec), 9,4 ms avg latency, 11,0 ms max latency.
533 records sent, 106,5 records/sec (3,05 MB/sec), 9,4 ms avg latency, 10,0 ms max latency.
530 records sent, 105,9 records/sec (3,03 MB/sec), 9,4 ms avg latency, 36,0 ms max latency.
